kode,string
5413,Kode komponen I-24 berkontribusi sebesar 245304.038139 rupiah terhadap PDRB Provinsi Kalimantan Timur
5414,Kode komponen I-25 berkontribusi sebesar 1282732.160658 rupiah terhadap PDRB Provinsi Kalimantan Timur
5415,Kode komponen I-26 berkontribusi sebesar 451447.970124 rupiah terhadap PDRB Provinsi Kalimantan Timur
5416,Kode komponen I-27 berkontribusi sebesar 1026661.151961 rupiah terhadap PDRB Provinsi Kalimantan Timur
5417,Kode komponen I-28 berkontribusi sebesar 823188.124176 rupiah terhadap PDRB Provinsi Kalimantan Timur
5418,Kode komponen I-29 berkontribusi sebesar 4464.466308 rupiah terhadap PDRB Provinsi Kalimantan Timur
5419,Kode komponen I-30 berkontribusi sebesar 385337.223656 rupiah terhadap PDRB Provinsi Kalimantan Timur
5420,Kode komponen I-31 berkontribusi sebesar 36535778.415150 rupiah terhadap PDRB Provinsi Kalimantan Timur
5421,Kode komponen I-32 berkontribusi sebesar 4261995.912703 rupiah terhadap PDRB Provinsi Kalimantan Timur
5422,Kode komponen I-33 berkontribusi sebesar 23596860.527116 rupiah terhadap PDRB Provinsi Kalimantan Timur
5423,Kode komponen I-34 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kalimantan Timur
5424,Kode komponen I-35 berkontribusi sebesar 3207505.845371 rupiah terhadap PDRB Provinsi Kalimantan Timur
5425,Kode komponen I-36 berkontribusi sebesar 2429445.084588 rupiah terhadap PDRB Provinsi Kalimantan Timur
5426,Kode komponen I-37 berkontribusi sebesar 1186168.152260 rupiah terhadap PDRB Provinsi Kalimantan Timur
5427,Kode komponen I-38 berkontribusi sebesar 6771574.261855 rupiah terhadap PDRB Provinsi Kalimantan Timur
5428,Kode komponen I-39 berkontribusi sebesar 6140747.274132 rupiah terhadap PDRB Provinsi Kalimantan Timur
5429,Kode komponen I-40 berkontribusi sebesar 1026549.904020 rupiah terhadap PDRB Provinsi Kalimantan Timur
5430,Kode komponen I-41 berkontribusi sebesar 4899122.981707 rupiah terhadap PDRB Provinsi Kalimantan Timur
5431,Kode komponen I-42 berkontribusi sebesar 8054618.699485 rupiah terhadap PDRB Provinsi Kalimantan Timur
5432,Kode komponen I-43 berkontribusi sebesar 5768450.966190 rupiah terhadap PDRB Provinsi Kalimantan Timur
5433,Kode komponen I-44 berkontribusi sebesar 1267717.308604 rupiah terhadap PDRB Provinsi Kalimantan Timur
5434,Kode komponen I-45 berkontribusi sebesar 1316096.156668 rupiah terhadap PDRB Provinsi Kalimantan Timur
5435,Kode komponen I-46 berkontribusi sebesar 13768.110294 rupiah terhadap PDRB Provinsi Kalimantan Timur
5436,Kode komponen I-47 berkontribusi sebesar 7823664.979580 rupiah terhadap PDRB Provinsi Kalimantan Timur
5437,Kode komponen I-48 berkontribusi sebesar 4273276.140207 rupiah terhadap PDRB Provinsi Kalimantan Timur
5438,Kode komponen I-49 berkontribusi sebesar 7892777.946457 rupiah terhadap PDRB Provinsi Kalimantan Timur
5439,Kode komponen I-50 berkontribusi sebesar 6488152.984602 rupiah terhadap PDRB Provinsi Kalimantan Timur
5440,Kode komponen I-51 berkontribusi sebesar 2605202.541010 rupiah terhadap PDRB Provinsi Kalimantan Timur
5441,Kode komponen I-52 berkontribusi sebesar 3458922.351575 rupiah terhadap PDRB Provinsi Kalimantan Timur
5442,Kode komponen 2010 berkontribusi sebesar 29689741.494790 rupiah terhadap PDRB Provinsi Kalimantan Utara
5443,Kode komponen 2020 berkontribusi sebesar 32382322.649839 rupiah terhadap PDRB Provinsi Kalimantan Utara
5444,Kode komponen 2045 berkontribusi sebesar 2054607.657775 rupiah terhadap PDRB Provinsi Kalimantan Utara
5445,Kode komponen 3011 berkontribusi sebesar 18341857.617437 rupiah terhadap PDRB Provinsi Kalimantan Utara
5446,Kode komponen 3012 berkontribusi sebesar 548296.801533 rupiah terhadap PDRB Provinsi Kalimantan Utara
5447,Kode komponen 3020 berkontribusi sebesar 6489228.701483 rupiah terhadap PDRB Provinsi Kalimantan Utara
5448,Kode komponen 3030 berkontribusi sebesar 28473395.631550 rupiah terhadap PDRB Provinsi Kalimantan Utara
5449,Kode komponen 3041 berkontribusi sebesar 186792.758163 rupiah terhadap PDRB Provinsi Kalimantan Utara
5450,Kode komponen I-01 berkontribusi sebesar 249304.468181 rupiah terhadap PDRB Provinsi Kalimantan Utara
5451,Kode komponen I-02 berkontribusi sebesar 917310.779013 rupiah terhadap PDRB Provinsi Kalimantan Utara
5452,Kode komponen I-03 berkontribusi sebesar 1931240.289103 rupiah terhadap PDRB Provinsi Kalimantan Utara
5453,Kode komponen I-04 berkontribusi sebesar 100948.539131 rupiah terhadap PDRB Provinsi Kalimantan Utara
5454,Kode komponen I-05 berkontribusi sebesar 39351.458765 rupiah terhadap PDRB Provinsi Kalimantan Utara
5455,Kode komponen I-06 berkontribusi sebesar 3201190.918028 rupiah terhadap PDRB Provinsi Kalimantan Utara
5456,Kode komponen I-07 berkontribusi sebesar 5507763.288891 rupiah terhadap PDRB Provinsi Kalimantan Utara
5457,Kode komponen I-08 berkontribusi sebesar 1475376.729032 rupiah terhadap PDRB Provinsi Kalimantan Utara
5458,Kode komponen I-09 berkontribusi sebesar 10390480.759217 rupiah terhadap PDRB Provinsi Kalimantan Utara
5459,Kode komponen I-10 berkontribusi sebesar 743457.029653 rupiah terhadap PDRB Provinsi Kalimantan Utara
5460,Kode komponen I-11 berkontribusi sebesar 1397637.291789 rupiah terhadap PDRB Provinsi Kalimantan Utara
5461,Kode komponen I-12 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kalimantan Utara
5462,Kode komponen I-13 berkontribusi sebesar 5074615.308103 rupiah terhadap PDRB Provinsi Kalimantan Utara
5463,Kode komponen I-14 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kalimantan Utara
5464,Kode komponen I-15 berkontribusi sebesar 3606.104916 rupiah terhadap PDRB Provinsi Kalimantan Utara
5465,Kode komponen I-16 berkontribusi sebesar 121860.745160 rupiah terhadap PDRB Provinsi Kalimantan Utara
5466,Kode komponen I-17 berkontribusi sebesar 2007472.152559 rupiah terhadap PDRB Provinsi Kalimantan Utara
5467,Kode komponen I-18 berkontribusi sebesar 40491.622561 rupiah terhadap PDRB Provinsi Kalimantan Utara
5468,Kode komponen I-19 berkontribusi sebesar 3706.009565 rupiah terhadap PDRB Provinsi Kalimantan Utara
5469,Kode komponen I-20 berkontribusi sebesar 2075.216121 rupiah terhadap PDRB Provinsi Kalimantan Utara
5470,Kode komponen I-21 berkontribusi sebesar 142921.222039 rupiah terhadap PDRB Provinsi Kalimantan Utara
5471,Kode komponen I-22 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kalimantan Utara
5472,Kode komponen I-23 berkontribusi sebesar 81069.769222 rupiah terhadap PDRB Provinsi Kalimantan Utara
5473,Kode komponen I-24 berkontribusi sebesar 17036.210417 rupiah terhadap PDRB Provinsi Kalimantan Utara
5474,Kode komponen I-25 berkontribusi sebesar 2193175.196844 rupiah terhadap PDRB Provinsi Kalimantan Utara
5475,Kode komponen I-26 berkontribusi sebesar 479055.489168 rupiah terhadap PDRB Provinsi Kalimantan Utara
5476,Kode komponen I-27 berkontribusi sebesar 46583.954417 rupiah terhadap PDRB Provinsi Kalimantan Utara
5477,Kode komponen I-28 berkontribusi sebesar 152165.378645 rupiah terhadap PDRB Provinsi Kalimantan Utara
5478,Kode komponen I-29 berkontribusi sebesar 6875.702212 rupiah terhadap PDRB Provinsi Kalimantan Utara
5479,Kode komponen I-30 berkontribusi sebesar 27545.136530 rupiah terhadap PDRB Provinsi Kalimantan Utara
5480,Kode komponen I-31 berkontribusi sebesar 6673794.070189 rupiah terhadap PDRB Provinsi Kalimantan Utara
5481,Kode komponen I-32 berkontribusi sebesar 507467.433641 rupiah terhadap PDRB Provinsi Kalimantan Utara
5482,Kode komponen I-33 berkontribusi sebesar 5793318.800545 rupiah terhadap PDRB Provinsi Kalimantan Utara
5483,Kode komponen I-34 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kalimantan Utara
5484,Kode komponen I-35 berkontribusi sebesar 580970.190758 rupiah terhadap PDRB Provinsi Kalimantan Utara
5485,Kode komponen I-36 berkontribusi sebesar 1699111.720720 rupiah terhadap PDRB Provinsi Kalimantan Utara
5486,Kode komponen I-37 berkontribusi sebesar 214210.282612 rupiah terhadap PDRB Provinsi Kalimantan Utara
5487,Kode komponen I-38 berkontribusi sebesar 994645.971126 rupiah terhadap PDRB Provinsi Kalimantan Utara
5488,Kode komponen I-39 berkontribusi sebesar 635606.638942 rupiah terhadap PDRB Provinsi Kalimantan Utara
5489,Kode komponen I-40 berkontribusi sebesar 262292.762430 rupiah terhadap PDRB Provinsi Kalimantan Utara
5490,Kode komponen I-41 berkontribusi sebesar 806795.119305 rupiah terhadap PDRB Provinsi Kalimantan Utara
5491,Kode komponen I-42 berkontribusi sebesar 1511405.792236 rupiah terhadap PDRB Provinsi Kalimantan Utara
5492,Kode komponen I-43 berkontribusi sebesar 728036.890673 rupiah terhadap PDRB Provinsi Kalimantan Utara
5493,Kode komponen I-44 berkontribusi sebesar 103218.681794 rupiah terhadap PDRB Provinsi Kalimantan Utara
5494,Kode komponen I-45 berkontribusi sebesar 220014.637446 rupiah terhadap PDRB Provinsi Kalimantan Utara
5495,Kode komponen I-46 berkontribusi sebesar 42800.696524 rupiah terhadap PDRB Provinsi Kalimantan Utara
5496,Kode komponen I-47 berkontribusi sebesar 1047041.367071 rupiah terhadap PDRB Provinsi Kalimantan Utara
5497,Kode komponen I-48 berkontribusi sebesar 765045.388944 rupiah terhadap PDRB Provinsi Kalimantan Utara
5498,Kode komponen I-49 berkontribusi sebesar 2988277.726963 rupiah terhadap PDRB Provinsi Kalimantan Utara
5499,Kode komponen I-50 berkontribusi sebesar 878470.499138 rupiah terhadap PDRB Provinsi Kalimantan Utara
5500,Kode komponen I-51 berkontribusi sebesar 421231.088022 rupiah terhadap PDRB Provinsi Kalimantan Utara
5501,Kode komponen I-52 berkontribusi sebesar 898599.274041 rupiah terhadap PDRB Provinsi Kalimantan Utara
5502,Kode komponen 2010 berkontribusi sebesar 29196334.750082 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5503,Kode komponen 2020 berkontribusi sebesar 33548962.062409 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5504,Kode komponen 2045 berkontribusi sebesar 2696469.475400 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5505,Kode komponen 3011 berkontribusi sebesar 35254244.555227 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5506,Kode komponen 3012 berkontribusi sebesar 445104.798365 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5507,Kode komponen 3020 berkontribusi sebesar 7337805.710076 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5508,Kode komponen 3030 berkontribusi sebesar 17702211.227970 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5509,Kode komponen 3041 berkontribusi sebesar 837184.363879 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5510,Kode komponen I-01 berkontribusi sebesar 221430.865301 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5511,Kode komponen I-02 berkontribusi sebesar 969564.387959 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5512,Kode komponen I-03 berkontribusi sebesar 6692214.498152 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5513,Kode komponen I-04 berkontribusi sebesar 696079.998404 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5514,Kode komponen I-05 berkontribusi sebesar 139759.475606 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5515,Kode komponen I-06 berkontribusi sebesar 245389.362878 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5516,Kode komponen I-07 berkontribusi sebesar 4594319.191007 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5517,Kode komponen I-08 berkontribusi sebesar 488732.229924 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5518,Kode komponen I-09 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5519,Kode komponen I-10 berkontribusi sebesar 5702946.172769 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5520,Kode komponen I-11 berkontribusi sebesar 2193916.929758 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5521,Kode komponen I-12 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5522,Kode komponen I-13 berkontribusi sebesar 4150328.958298 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5523,Kode komponen I-14 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5524,Kode komponen I-15 berkontribusi sebesar 36316.510730 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5525,Kode komponen I-16 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5526,Kode komponen I-17 berkontribusi sebesar 273959.457977 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5527,Kode komponen I-18 berkontribusi sebesar 50820.128036 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5528,Kode komponen I-19 berkontribusi sebesar 29403.980739 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5529,Kode komponen I-20 berkontribusi sebesar 363231.225531 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5530,Kode komponen I-21 berkontribusi sebesar 806555.004740 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5531,Kode komponen I-22 berkontribusi sebesar 6889180.609906 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5532,Kode komponen I-23 berkontribusi sebesar 140061.590950 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5533,Kode komponen I-24 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5534,Kode komponen I-25 berkontribusi sebesar 118042.916314 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5535,Kode komponen I-26 berkontribusi sebesar 57686.173462 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5536,Kode komponen I-27 berkontribusi sebesar 29602.981208 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5537,Kode komponen I-28 berkontribusi sebesar 228573.036104 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5538,Kode komponen I-29 berkontribusi sebesar 8982.968647 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5539,Kode komponen I-30 berkontribusi sebesar 42799.912290 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5540,Kode komponen I-31 berkontribusi sebesar 5913002.393189 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5541,Kode komponen I-32 berkontribusi sebesar 1544709.761109 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5542,Kode komponen I-33 berkontribusi sebesar 7231147.082442 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5543,Kode komponen I-34 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5544,Kode komponen I-35 berkontribusi sebesar 1058707.511853 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5545,Kode komponen I-36 berkontribusi sebesar 537559.667182 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5546,Kode komponen I-37 berkontribusi sebesar 34638.051863 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5547,Kode komponen I-38 berkontribusi sebesar 1384612.987010 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5548,Kode komponen I-39 berkontribusi sebesar 376357.329916 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5549,Kode komponen I-40 berkontribusi sebesar 110819.634008 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5550,Kode komponen I-41 berkontribusi sebesar 1575645.865622 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5551,Kode komponen I-42 berkontribusi sebesar 951734.227393 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5552,Kode komponen I-43 berkontribusi sebesar 1069867.475674 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5553,Kode komponen I-44 berkontribusi sebesar 150890.418114 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5554,Kode komponen I-45 berkontribusi sebesar 185763.242092 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5555,Kode komponen I-46 berkontribusi sebesar 1993.378801 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5556,Kode komponen I-47 berkontribusi sebesar 2065098.153007 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5557,Kode komponen I-48 berkontribusi sebesar 333298.262024 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5558,Kode komponen I-49 berkontribusi sebesar 3000124.140539 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5559,Kode komponen I-50 berkontribusi sebesar 1379803.822297 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5560,Kode komponen I-51 berkontribusi sebesar 782668.668725 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5561,Kode komponen I-52 berkontribusi sebesar 583425.648339 rupiah terhadap PDRB Provinsi Kep. Bangka Belitung
5562,Kode komponen 2010 berkontribusi sebesar 103466625.743049 rupiah terhadap PDRB Provinsi Kep. Riau
5563,Kode komponen 2020 berkontribusi sebesar 97543700.433634 rupiah terhadap PDRB Provinsi Kep. Riau
5564,Kode komponen 2045 berkontribusi sebesar 1715889.222806 rupiah terhadap PDRB Provinsi Kep. Riau
5565,Kode komponen 3011 berkontribusi sebesar 82881133.044907 rupiah terhadap PDRB Provinsi Kep. Riau
5566,Kode komponen 3012 berkontribusi sebesar 497301.136413 rupiah terhadap PDRB Provinsi Kep. Riau
5567,Kode komponen 3020 berkontribusi sebesar 11290204.430365 rupiah terhadap PDRB Provinsi Kep. Riau
5568,Kode komponen 3030 berkontribusi sebesar 106243763.829101 rupiah terhadap PDRB Provinsi Kep. Riau
5569,Kode komponen 3041 berkontribusi sebesar 2445168.030693 rupiah terhadap PDRB Provinsi Kep. Riau
5570,Kode komponen I-01 berkontribusi sebesar 43071.213390 rupiah terhadap PDRB Provinsi Kep. Riau
5571,Kode komponen I-02 berkontribusi sebesar 737976.867703 rupiah terhadap PDRB Provinsi Kep. Riau
5572,Kode komponen I-03 berkontribusi sebesar 975215.391589 rupiah terhadap PDRB Provinsi Kep. Riau
5573,Kode komponen I-04 berkontribusi sebesar 1404157.806051 rupiah terhadap PDRB Provinsi Kep. Riau
5574,Kode komponen I-05 berkontribusi sebesar 50008.014912 rupiah terhadap PDRB Provinsi Kep. Riau
5575,Kode komponen I-06 berkontribusi sebesar 18833.051786 rupiah terhadap PDRB Provinsi Kep. Riau
5576,Kode komponen I-07 berkontribusi sebesar 5703512.025096 rupiah terhadap PDRB Provinsi Kep. Riau
5577,Kode komponen I-08 berkontribusi sebesar 12601518.295675 rupiah terhadap PDRB Provinsi Kep. Riau
5578,Kode komponen I-09 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kep. Riau
5579,Kode komponen I-10 berkontribusi sebesar 875987.630909 rupiah terhadap PDRB Provinsi Kep. Riau
5580,Kode komponen I-11 berkontribusi sebesar 1236789.637771 rupiah terhadap PDRB Provinsi Kep. Riau
5581,Kode komponen I-12 berkontribusi sebesar 1174086.963757 rupiah terhadap PDRB Provinsi Kep. Riau
5582,Kode komponen I-13 berkontribusi sebesar 7985178.630675 rupiah terhadap PDRB Provinsi Kep. Riau
5583,Kode komponen I-14 berkontribusi sebesar 656098.278408 rupiah terhadap PDRB Provinsi Kep. Riau
5584,Kode komponen I-15 berkontribusi sebesar 1525302.056730 rupiah terhadap PDRB Provinsi Kep. Riau
5585,Kode komponen I-16 berkontribusi sebesar 550842.146641 rupiah terhadap PDRB Provinsi Kep. Riau
